"Name","Time","BenchmarkName","Trial"
"react",2.84607208e8,"gc_time_ns",39
"react",3.0560451e8,"gc_time_ns",40
"react",3.25682117e8,"gc_time_ns",41
"react",3.52725637e8,"gc_time_ns",42
"react",3.71555083e8,"gc_time_ns",43
"react",4.07218779e8,"gc_time_ns",44
"react",4.35948233e8,"gc_time_ns",45
"react",4.68919713e8,"gc_time_ns",46
"react",4.95736546e8,"gc_time_ns",47
"react",5.31084744e8,"gc_time_ns",48
"react",6.38747451e8,"gc_time_ns",49
"react",6.06173585e8,"gc_time_ns",50
"react",0.0,"gc_num_pause",1
"react",0.0,"gc_num_pause",2
"react",0.0,"gc_num_pause",3
"react",0.0,"gc_num_pause",4
"react",0.0,"gc_num_pause",5
"react",0.0,"gc_num_pause",6
"react",0.0,"gc_num_pause",7
"react",1.0,"gc_num_pause",8
"react",1.0,"gc_num_pause",9
"react",1.0,"gc_num_pause",10
"react",2.0,"gc_num_pause",11
"react",2.0,"gc_num_pause",12
"react",2.0,"gc_num_pause",13
"react",3.0,"gc_num_pause",14
"react",4.0,"gc_num_pause",15
"react",5.0,"gc_num_pause",16
"react",6.0,"gc_num_pause",17
"react",7.0,"gc_num_pause",18
"react",9.0,"gc_num_pause",19
"react",10.0,"gc_num_pause",20
"react",12.0,"gc_num_pause",21
"react",13.0,"gc_num_pause",22
"react",15.0,"gc_num_pause",23
"react",17.0,"gc_num_pause",24
"react",20.0,"gc_num_pause",25
"react",22.0,"gc_num_pause",26
"react",25.0,"gc_num_pause",27
"react",28.0,"gc_num_pause",28
"react",31.0,"gc_num_pause",29
"react",34.0,"gc_num_pause",30
"react",37.0,"gc_num_pause",31
"react",42.0,"gc_num_pause",32
"react",46.0,"gc_num_pause",33
"react",50.0,"gc_num_pause",34
"react",55.0,"gc_num_pause",35
"react",59.0,"gc_num_pause",36
"react",66.0,"gc_num_pause",37
"react",71.0,"gc_num_pause",38
"react",77.0,"gc_num_pause",39
"react",83.0,"gc_num_pause",40
"react",89.0,"gc_num_pause",41
"react",97.0,"gc_num_pause",42
"react",99.0,"gc_num_pause",43
"react",108.0,"gc_num_pause",44
"react",118.0,"gc_num_pause",45
"react",121.0,"gc_num_pause",46
"react",132.0,"gc_num_pause",47
"react",145.0,"gc_num_pause",48
"react",148.0,"gc_num_pause",49
"react",164.0,"gc_num_pause",50
"react",0.0,"gc_num_full_sweep",1
"react",0.0,"gc_num_full_sweep",2
"react",0.0,"gc_num_full_sweep",3
"react",0.0,"gc_num_full_sweep",4
"react",0.0,"gc_num_full_sweep",5
"react",0.0,"gc_num_full_sweep",6
"react",0.0,"gc_num_full_sweep",7
"react",0.0,"gc_num_full_sweep",8
"react",0.0,"gc_num_full_sweep",9
"react",0.0,"gc_num_full_sweep",10
"react",0.0,"gc_num_full_sweep",11
"react",0.0,"gc_num_full_sweep",12
"react",0.0,"gc_num_full_sweep",13
"react",0.0,"gc_num_full_sweep",14
"react",0.0,"gc_num_full_sweep",15
"react",0.0,"gc_num_full_sweep",16
"react",0.0,"gc_num_full_sweep",17
"react",0.0,"gc_num_full_sweep",18
"react",0.0,"gc_num_full_sweep",19
"react",0.0,"gc_num_full_sweep",20
"react",0.0,"gc_num_full_sweep",21
"react",0.0,"gc_num_full_sweep",22
"react",0.0,"gc_num_full_sweep",23
"react",0.0,"gc_num_full_sweep",24
"react",0.0,"gc_num_full_sweep",25
"react",0.0,"gc_num_full_sweep",26
"react",0.0,"gc_num_full_sweep",27
"react",0.0,"gc_num_full_sweep",28
"react",0.0,"gc_num_full_sweep",29
"react",0.0,"gc_num_full_sweep",30
"react",0.0,"gc_num_full_sweep",31
"react",0.0,"gc_num_full_sweep",32
"react",0.0,"gc_num_full_sweep",33
"react",0.0,"gc_num_full_sweep",34
"react",0.0,"gc_num_full_sweep",35
"react",0.0,"gc_num_full_sweep",36
"react",0.0,"gc_num_full_sweep",37
"react",0.0,"gc_num_full_sweep",38
"react",0.0,"gc_num_full_sweep",39
"react",0.0,"gc_num_full_sweep",40
"react",0.0,"gc_num_full_sweep",41
"react",0.0,"gc_num_full_sweep",42
"react",0.0,"gc_num_full_sweep",43
"react",0.0,"gc_num_full_sweep",44
"react",0.0,"gc_num_full_sweep",45
"react",0.0,"gc_num_full_sweep",46
"react",0.0,"gc_num_full_sweep",47
"react",0.0,"gc_num_full_sweep",48
"react",0.0,"gc_num_full_sweep",49
"react",0.0,"gc_num_full_sweep",50
"unrolled",792.0,"gc_bytes",1
"unrolled",72776.0,"gc_bytes",2
"unrolled",315000.0,"gc_bytes",3
"unrolled",980840.0,"gc_bytes",4
"unrolled",2.24188e6,"gc_bytes",5
"unrolled",4.28196e6,"gc_bytes",6
"unrolled",7.3078e6,"gc_bytes",7
"unrolled",1.150484e7,"gc_bytes",8
"unrolled",1.706508e7,"gc_bytes",9
"unrolled",2.418052e7,"gc_bytes",10
"unrolled",3.304316e7,"gc_bytes",11
"unrolled",4.3845e7,"gc_bytes",12
"unrolled",5.677804e7,"gc_bytes",13
"unrolled",7.203428e7,"gc_bytes",14
"unrolled",8.980572e7,"gc_bytes",15
"unrolled",1.1028436e8,"gc_bytes",16
"unrolled",1.336622e8,"gc_bytes",17
"unrolled",1.6013124e8,"gc_bytes",18
"unrolled",1.8988348e8,"gc_bytes",19
"unrolled",2.2311104e8,"gc_bytes",20
"unrolled",2.6000556e8,"gc_bytes",21
"unrolled",3.007594e8,"gc_bytes",22
"unrolled",3.4556444e8,"gc_bytes",23
"unrolled",3.9461268e8,"gc_bytes",24
"unrolled",4.4809612e8,"gc_bytes",25
"unrolled",5.0620676e8,"gc_bytes",26
"unrolled",5.691366e8,"gc_bytes",27
"unrolled",6.3707764e8,"gc_bytes",28
"unrolled",7.1022188e8,"gc_bytes",29
"unrolled",7.8876132e8,"gc_bytes",30
"unrolled",8.7288796e8,"gc_bytes",31
"unrolled",9.627938e8,"gc_bytes",32
"unrolled",1.05867084e9,"gc_bytes",33
"unrolled",1.16071108e9,"gc_bytes",34
"unrolled",1.26910652e9,"gc_bytes",35
"unrolled",1.38404916e9,"gc_bytes",36
"unrolled",1.505731e9,"gc_bytes",37
"unrolled",1.63434404e9,"gc_bytes",38
"unrolled",1.77008028e9,"gc_bytes",39
"unrolled",1.91313172e9,"gc_bytes",40
"unrolled",2.06369036e9,"gc_bytes",41
"unrolled",2.2219482e9,"gc_bytes",42
"unrolled",2.38809724e9,"gc_bytes",43
"unrolled",2.56232948e9,"gc_bytes",44
"unrolled",2.74483692e9,"gc_bytes",45
"unrolled",2.93581156e9,"gc_bytes",46
"unrolled",3.1354454e9,"gc_bytes",47
"unrolled",3.34393044e9,"gc_bytes",48
"unrolled",3.56145868e9,"gc_bytes",49
"unrolled",3.78822212e9,"gc_bytes",50
"unrolled",11602.0,"time_ns",1
"unrolled",55335.0,"time_ns",2
"unrolled",394037.0,"time_ns",3
"unrolled",2.119678e6,"time_ns",4
"unrolled",4.624022e6,"time_ns",5
"unrolled",8.191776e6,"time_ns",6
"unrolled",1.63184e7,"time_ns",7
"unrolled",1.4208986e7,"time_ns",8
"unrolled",2.244851e7,"time_ns",9
"unrolled",2.6524093e7,"time_ns",10
"unrolled",3.3412379e7,"time_ns",11
"unrolled",3.7892263e7,"time_ns",12
"unrolled",5.7918984e7,"time_ns",13
"unrolled",7.099093e7,"time_ns",14
"unrolled",8.8429858e7,"time_ns",15
"unrolled",1.00113079e8,"time_ns",16
"unrolled",1.35409963e8,"time_ns",17
"unrolled",1.60689917e8,"time_ns",18
"unrolled",1.99976706e8,"time_ns",19
"unrolled",2.88052243e8,"time_ns",20
"unrolled",2.36461056e8,"time_ns",21
"unrolled",2.77848781e8,"time_ns",22
"unrolled",3.36804846e8,"time_ns",23
"unrolled",3.74152241e8,"time_ns",24
"unrolled",4.1252065e8,"time_ns",25
"unrolled",4.81021516e8,"time_ns",26
"unrolled",5.48379094e8,"time_ns",27
"unrolled",6.14968678e8,"time_ns",28
"unrolled",6.83036236e8,"time_ns",29
"unrolled",7.7315559e8,"time_ns",30
"unrolled",8.24389332e8,"time_ns",31
"unrolled",9.27833653e8,"time_ns",32
"unrolled",9.63541086e8,"time_ns",33
"unrolled",1.124766054e9,"time_ns",34
"unrolled",1.203091518e9,"time_ns",35
"unrolled",1.452962328e9,"time_ns",36
"unrolled",1.711538994e9,"time_ns",37
"unrolled",1.878288067e9,"time_ns",38
"unrolled",2.087129491e9,"time_ns",39
"unrolled",2.196514713e9,"time_ns",40
"unrolled",2.373131671e9,"time_ns",41
"unrolled",2.534412421e9,"time_ns",42
"unrolled",2.732067298e9,"time_ns",43
"unrolled",2.935438613e9,"time_ns",44
"unrolled",3.162882334e9,"time_ns",45
"unrolled",3.37297236e9,"time_ns",46
"unrolled",3.592344346e9,"time_ns",47
"unrolled",3.91083651e9,"time_ns",48
"unrolled",4.380468435e9,"time_ns",49
"unrolled",4.533350796e9,"time_ns",50
"unrolled",0.0,"gc_time_ns",1
"unrolled",0.0,"gc_time_ns",2
"unrolled",0.0,"gc_time_ns",3
"unrolled",0.0,"gc_time_ns",4
"unrolled",0.0,"gc_time_ns",5
"unrolled",0.0,"gc_time_ns",6
"unrolled",5.983294e6,"gc_time_ns",7
"unrolled",0.0,"gc_time_ns",8
"unrolled",5.021183e6,"gc_time_ns",9
"unrolled",5.604429e6,"gc_time_ns",10
"unrolled",1.79838e6,"gc_time_ns",11
"unrolled",1.722517e6,"gc_time_ns",12
"unrolled",9.024474e6,"gc_time_ns",13
"unrolled",8.270316e6,"gc_time_ns",14
"unrolled",9.598796e6,"gc_time_ns",15
"unrolled",7.0708e6,"gc_time_ns",16
"unrolled",1.6710206e7,"gc_time_ns",17
"unrolled",1.7659822e7,"gc_time_ns",18
"unrolled",2.5156789e7,"gc_time_ns",19
"unrolled",8.4160601e7,"gc_time_ns",20
"unrolled",1.6599092e7,"gc_time_ns",21
"unrolled",2.1658655e7,"gc_time_ns",22
"unrolled",3.2263736e7,"gc_time_ns",23
"unrolled",3.1091001e7,"gc_time_ns",24
"unrolled",3.1026294e7,"gc_time_ns",25
"unrolled",4.2786267e7,"gc_time_ns",26
"unrolled",5.312048e7,"gc_time_ns",27
"unrolled",5.7499065e7,"gc_time_ns",28
"unrolled",6.5734129e7,"gc_time_ns",29
"unrolled",7.6155803e7,"gc_time_ns",30
